AB;IBM Systems &Technology Group,  Legal
AC;IBM Systems &Technology Group, Human Resources
AD;IBM Sales & Distribution, Administration
AE;IBM Systems &Technology Group, Marketing
AF;IBM Systems &Technology Group, System x
AG;IBM Systems &Technology Group, Operations
AK;IBM Systems &Technology Group, Development
AN;IBM Systems &Technology Group, Development
AP;IBM Sales & Distribution, APTO
AY;IBM Systems &Technology Group, System Storage
A1;IBM Systems &Technology Group, System z
A2;IBM Systems &Technology Group, System i
A3;IBM Systems &Technology Group, System p
A5;IBM Systems &Technology Group, Communications
A6;IBM Systems &Technology Group, Human Resources
A7;IBM Systems &Technology Group, F&P
A8;IBM Systems &Technology Group, System Sales
A9;IBM Systems &Technology Group, Infrastructure Solutions
CA;IBM Systems &Technology Group, Technology Collaboration Solutions
CB;IBM Systems &Technology Group, Technology Collaboration Solutions
CD;IBM Systems &Technology Group, Technology Collaboration Solutions
CJ;IBM Systems &Technology Group, Technology Collaboration Solutions
CK;IBM Systems &Technology Group, Technology Collaboration Solutions
CM;IBM Systems &Technology Group, Technology Collaboration Solutions
CO;IBM Sales & Distribution, Communications
DH;IBM Systems &Technology Group, Development
DK;IBM Systems &Technology Group, Development
DN;IBM Systems &Technology Group, Infrastructure Solutions
DW;IBM Systems &Technology Group, Infrastructure Solutions
EA;IBM Integrated Supply Chain, Operations
EB;IBM Software Group, Application and Integration Middleware Software
EF;IBM Software Group, Application and Integration Middleware Software
EK;IBM Software Group, Finance
EN;IBM Software Group
EX;IBM Executive Staff
E2;IBM Software Group
E3;IBM Sales & Distribution, Public Sector
E4;IBM Software Group
E6;IBM Software Group
E7;IBM Software Group
E8;IBM Software Group, Finance
FA;IBM Sales & Distribution,  Distribution Sector
FB;IBM Sales & Distribution, Industrial Sector
FC;IBM Sales & Distribution, Finance Sector
FD;IBM Sales & Distribution, Public Sector
FE;IBM Sales & Distribution, Operations
FF;IBM Sales & Distribution, Finance
FG;IBM Sales & Distribution, Human Resources
FH;IBM Sales & Distribution, Communications
FI;IBM Sales & Distribution, Finance
FJ;IBM Sales & Distribution, Marketing
FK;IBM Sales & Distribution
FL;IBM Integrated Supply Chain,  Customer Fulfillment
FN;IBM Sales & Distribution
FR;IBM Sales & Distribution, e-Business
FS;IBM Sales & Distribution, Communications
FT;IBM Sales & Distribution, IVP
FW;IBM Sales & Distribution
F1;IBM Sales & Distribution, Executive Staff
F2;IBM Sales & Distribution, Small & Midmarket Business
F4;IBM Sales & Distribution, ibm.com
F6;IBM Sales & Distribution, Business Partners
F9;IBM Sales & Distribution, Communications Sector
GA;IBM Sales & Distribution, Industrial Sector
GC;IBM Sales & Distribution, Operations
GD;IBM Sales & Distribution
GE;IBM Sales & Distribution, Software Sales
