0BA;4601 CANADA WAY;;BURNABY;BC;V5G 4X3
0BB;609 GRANVILLE STREET;;VANCOUVER;BC;V7Y 1G5
0BC;6001 Grant McConachie Way;;Richmond;BC;V7B1K3
0BD;5720 Kingsway Drive;;BURNABY;BC;V5H 4N2
165;252 E CAMDEN WYOMING AVE;;CAMDEN;DE;19934-1303
1BA;1525 10TH AVENUE, SW;;CALGARY;AB;T3C0J6
1BB;15810 - 114 AVENUE;;EDMONTON;AB;T5M2Z4
1BD;3400,237-4TH AVE SW;;CALGARY;AB;T2P 5A4
1BE;450, 1ST-ST SW;;CALGARY;AB;T2P 5H1
2AL;2121 Saskatchewan Drive;;REGINA;SK;S4P3Y2
3AG;355 Portage Ave;;Winnipeg;MB;R3G 1G4
478;5201 LEESBURG PIKE;;FALLS CHURCH;VA;22041-3203
4DZ;Terminal 2, Departures Lvl, Rm B260;;MISSISSAUGA;ON;L3P 1A2
4ED;255 DUFFERIN AVENUE;;LONDON;ON;N6A4K1
4EE;483 BAY STREET, SOUTH TWR;;TORONTO;ON;M4G 2C9
4EF;5935 AIRPORT RD 9TH FLR;;MISSISSAUGA;ON;L4V1W5
4EG;330 FRONT STREET WEST, 7TH FLR;;TORONTO;ON;M5V 3B7
4EH;6500 SILVER DART DR BLDG F, 3RD FLR;;MISSISSAUGA;ON;L5P 1B1
4EI;78 O'Connor St;;Ottawa;ON;K1P 5M7
4EJ;160 BLOOR STREET, EAST;;TORONTO;ON;M4W 3R2
4EP;8 PRINCE ANDREW PLACE;;DON MILLS;ON;M3C 2H4
4EQ;44 KING STREET WEST;;TORONTO;ON;M5H 1H1
4ER;2201 EGLINTON AVENUE;;SCARBOROUGH;ON;M1L 4S2
4ES;888 BIRCHMOUNT ROAD;;SCARBOROUGH;ON;M1K 5L1
4ET;60 ERIE STREET;;STRATFORD;ON;N5A 2M4
4EU;1 QUEEN STREET;;TORONTO;ON;M5C 2W5
5BD;671 LA GUACHETIERE ROOM 1037;;MONTREAL;QC;H3B 2M8
5BE;7325 PROVENCHER;;Saint Leonard;QC;H1S 2W6
5BF;975 ROMEO VACHON SUITE 237;;DORVAL;QC;H4Y 1C3
5BG;12800 RUE DE L'AVENIR;;MIRABEL;QC;J7J1R4
6AK;155 WOODWARD AVENUE;;SAINT JOHN;NB;E2K1Z9
9ZV;1-2-1 NISHIKU CHOU;;FUJI;;417-0045
9ZX;72 KYOMACHI CHUO-KU;;KOBE;;650-0034
A6K;2401 W JEFFERSON;;SPRINGFIELD;IL;62702-3690
AAL;900 Venture Dr;;Allen;TX;75013-1197
ABD;9500 Highway I-76;;Henderson;CO;80640
ABT;1200 Abernathy Rd NE;;Atlanta;GA;30328-5633
ADA;180 GREENHILL ROAD;;PARKSIDE;SA;5063
ADT;1000 BELLEVIEW ST;;DALLAS;TX;75215-1870
ADV;One Targeting Centre;;Windsor;CT;06095-2669
AFC;6 Concourse Pkwy NE;;Atlanta;GA;30328-5344
AFO;4499 FISHER RD;;COLUMBUS;OH;43228-9509
AGO;200 W Jackson Blvd;;Chicago;IL;60606-6910
AHM;1000 S Fremont Ave;;Alhambra;CA;91803-8800
AIR;160 AIRPORT RD;;WHITE PLAINS;NY;10604-1219
ALA;3500 BLUE LAKE DR;;BIRMINGHAM;AL;35243-1900
ALG;1505 WINDWARD CONCOURSE;;ALPHARETTA;GA;30005-4180
ALN;1200 Peachtree Rd NE;;Atlanta;GA;30309-3504
ALR;300 Northpoint Pkwy;;Alpharetta;GA;30005-4116
AMA;HIPOLITO YRIGOYEN 2149;;BUENOS AIRES;;B1640HFQ
AMR;4703 Parkside Dr;;Amarillo;TX;79109-7509
AMT;7201 I-40 WEST;;AMARILLO;TX;79106-2634
ANJ;30 Knightsbridge Rd;;Piscataway;NJ;08854-3913
ANK;4501 BUS PARK BLVD;;ANCHORAGE;AK;99503-7167
ANM;2155 LOUISIANA NE;;ALBUQUERQUE;NM;87110-5423
ANP;500 Northpoint Pkwy;;Alpharetta;GA;30005
ANT;4111 NORTHSIDE PKWY, NW;;ATLANTA;GA;30327-3015
ANY;80 STATE ST;;ALBANY;NY;12207-2543
AOH;15 W 6th St;;Cincinnati;OH;45202-2307
APA;1247 S Cedar Crest Blvd;;Allentown;PA;18103-6259
APS;20 Knightsbridge Rd;;Piscataway;NJ;08854-3913
ASC;2706 Montopolis Dr;;Austin;TX;78741-6499
AUC;11900 E Cornell Ave;;Aurora;CO;80014-6201
BAC;5100 CALIFORNIA AVE;;BAKERSFIELD;CA;93309-0715
BDG;1041 Route 202/206;;Bridgewater;NJ;08807-1275
BDM;900 US Highway 202;;Bedminster;NJ;07921
BFF;60 LAKEFRONT BLVD;;BUFFALO;NY;14202-4302
BGO;840 S Canal St;;Chicago;IL;60607-4565
BLM;401 N 31ST ST;;BILLINGS;MT;59101-1286
BLO;1615 COMMERCE PKWY;;BLOOMINGTON;IL;61704-9608
BLS;AVENUE DU BOURGET, 42;;BRUSSELS;;1130
BLV;2810 160th Ave SE;;Bellevue;WA;98008-5460
BME;6710 ROCKLEDGE DR;;BETHESDA;MD;20817-1827
BMI;9000 Haggerty Rd;;Belleville;MI;48111-9787
BNJ;721 Route 202/206;;Bridgewater;NJ;08807-1760
BNT;11501 BURNET RD;;AUSTIN;TX;78758-3400
BOI;412 E PARKCENTER BLVD;;BOISE;ID;83706-6573
BOL;6300 DIAGONAL HWY;;BOULDER;CO;80301-6108
BOW;404 WYMAN ST;;WALTHAM;MA;02451-1212
BRD;6100 E Broad St;;Columbus;OH;43213-1574
BRN;211 Mount Airy Rd;;Basking Ridge;NJ;07920-2311
BTH;1650 VALLEY CENTER PKWY;;BETHLEHEM;PA;18017-2344
BTN;8009 34th Ave S;;Bloomington;MN;55425-1608
